,Unnamed: 0,anime_id,name,genre,type,episodes,rating,members
0,0,32281,kimi no na wa ,"Drama, Romance, School, Supernatural",Movie,1.0,9.37,200630.0
1,1,5114,fullmetal alchemist brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64.0,9.26,793665.0
2,2,28977,gintama ,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,9.25,114262.0
3,3,9253,steins gate,"Sci-Fi, Thriller",TV,24.0,9.17,673572.0
4,4,9969,gintama 039 ,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51.0,9.16,151266.0
5,5,32935,haikyuu karasuno koukou vs shiratorizawa gakuen koukou,"Comedy, Drama, School, Shounen, Sports",TV,10.0,9.15,93351.0
6,6,11061,hunter x hunter 2011 ,"Action, Adventure, Shounen, Super Power",TV,148.0,9.13,425855.0
7,7,820,ginga eiyuu densetsu,"Drama, Military, Sci-Fi, Space",OVA,110.0,9.11,80679.0
8,8,15335,gintama movie kanketsu hen yorozuya yo eien nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1.0,9.1,72534.0
9,9,15417,gintama 039 enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13.0,9.11,81109.0
10,10,4181,clannad after story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24.0,9.06,456749.0
11,11,28851,koe no katachi,"Drama, School, Shounen",Movie,1.0,9.05,102733.0
12,12,918,gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201.0,9.04,336376.0
13,13,2904,code geass hangyaku no lelouch r2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25.0,8.98,572888.0
14,14,28891,haikyuu second season,"Comedy, Drama, School, Shounen, Sports",TV,25.0,8.93,179342.0
15,15,199,sen to chihiro no kamikakushi,"Adventure, Drama, Supernatural",Movie,1.0,8.93,466254.0
16,16,23273,shigatsu wa kimi no uso,"Drama, Music, Romance, School, Shounen",TV,22.0,8.92,416397.0
17,17,24701,mushishi zoku shou 2nd season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10.0,8.88,75894.0
18,18,12355,ookami kodomo no ame to yuki,"Fantasy, Slice of Life",Movie,1.0,8.84,226193.0
19,19,1575,code geass hangyaku no lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25.0,8.83,715151.0
20,20,263,hajime no ippo,"Comedy, Drama, Shounen, Sports",TV,75.0,8.83,157670.0
